Timestamp,Prediction
2025-10-15 21:46:59,White-Breasted-Kingfisher
2025-10-15 21:47:01,White-Breasted-Kingfisher
2025-10-15 21:47:03,Jungle-Babbler
2025-10-15 21:47:04,Jungle-Babbler
2025-10-15 21:47:06,White-Breasted-Kingfisher
2025-10-15 21:47:07,White-Breasted-Kingfisher
2025-10-15 21:47:09,White-Breasted-Kingfisher
2025-10-15 21:47:11,White-Breasted-Kingfisher
2025-10-15 21:47:12,Jungle-Babbler
2025-10-15 21:47:14,Jungle-Babbler
2025-10-15 21:47:15,Jungle-Babbler
2025-10-15 21:47:17,Jungle-Babbler
2025-10-15 21:47:19,Jungle-Babbler
2025-10-15 21:47:20,Jungle-Babbler
2025-10-15 21:47:22,Jungle-Babbler
2025-10-15 21:47:23,Jungle-Babbler
2025-10-15 21:47:25,Jungle-Babbler
2025-10-15 21:47:27,Jungle-Babbler
2025-10-15 21:47:28,Jungle-Babbler
2025-10-15 21:47:30,Jungle-Babbler
2025-10-15 21:47:32,White-Breasted-Kingfisher
2025-10-15 21:47:33,White-Breasted-Kingfisher
2025-10-15 21:47:35,White-Breasted-Kingfisher
2025-10-15 21:47:36,White-Breasted-Kingfisher
2025-10-15 21:47:38,White-Breasted-Kingfisher
2025-10-15 21:47:39,White-Breasted-Kingfisher
2025-10-15 21:47:41,White-Breasted-Kingfisher
2025-10-15 21:47:43,Jungle-Babbler
2025-10-15 21:47:44,Jungle-Babbler
2025-10-15 21:47:46,Jungle-Babbler
2025-10-15 21:47:47,Jungle-Babbler
2025-10-15 21:47:49,Jungle-Babbler
2025-10-15 21:47:51,Jungle-Babbler
2025-10-15 21:47:52,Jungle-Babbler
2025-10-15 21:47:54,Jungle-Babbler
2025-10-15 21:47:55,Jungle-Babbler
2025-10-15 21:47:57,Jungle-Babbler
2025-10-15 21:47:59,Jungle-Babbler
2025-10-15 21:48:00,Jungle-Babbler
2025-10-15 21:48:02,Jungle-Babbler
2025-10-15 21:48:04,Jungle-Babbler
2025-10-15 21:48:05,Jungle-Babbler
2025-10-15 21:48:07,Jungle-Babbler
2025-10-15 21:48:08,Jungle-Babbler
2025-10-15 21:48:11,Jungle-Babbler
2025-10-15 21:48:12,Jungle-Babbler
2025-10-15 21:48:14,Jungle-Babbler
2025-10-15 21:48:15,Jungle-Babbler
2025-10-15 21:48:18,Jungle-Babbler
2025-10-15 21:48:36,Jungle-Babbler
2025-10-15 21:48:38,Jungle-Babbler
2025-10-15 21:48:40,Jungle-Babbler
2025-10-15 21:48:42,Jungle-Babbler
2025-10-15 21:48:44,Jungle-Babbler
2025-10-15 21:48:45,Jungle-Babbler
2025-10-15 21:48:47,Jungle-Babbler
2025-10-15 21:48:49,Jungle-Babbler
2025-10-15 21:48:50,Jungle-Babbler
2025-10-15 21:50:38,Jungle-Babbler
2025-10-15 21:50:41,White-Breasted-Kingfisher
2025-10-15 21:50:42,White-Breasted-Kingfisher
2025-10-15 21:50:44,White-Breasted-Kingfisher
2025-10-15 21:50:45,White-Breasted-Kingfisher
2025-10-15 21:50:47,White-Breasted-Kingfisher
2025-10-15 21:50:48,White-Breasted-Kingfisher
2025-10-15 21:50:51,White-Breasted-Kingfisher
2025-10-15 21:50:51,White-Breasted-Kingfisher
2025-10-15 21:50:54,White-Breasted-Kingfisher
2025-10-15 21:50:55,White-Breasted-Kingfisher
2025-10-15 21:50:57,White-Breasted-Kingfisher
2025-10-15 21:50:58,White-Breasted-Kingfisher
2025-10-15 21:51:00,White-Breasted-Kingfisher
2025-10-15 21:51:01,White-Breasted-Kingfisher
2025-10-15 21:51:04,White-Breasted-Kingfisher
2025-10-15 21:51:05,White-Breasted-Kingfisher
2025-10-15 21:51:07,White-Breasted-Kingfisher
2025-10-15 21:51:08,White-Breasted-Kingfisher
2025-10-15 21:51:10,White-Breasted-Kingfisher
2025-10-15 21:51:11,White-Breasted-Kingfisher
2025-10-15 21:51:13,White-Breasted-Kingfisher
2025-10-15 21:51:14,White-Breasted-Kingfisher
2025-10-15 21:51:17,White-Breasted-Kingfisher
2025-10-15 21:51:18,White-Breasted-Kingfisher
2025-10-15 21:51:20,White-Breasted-Kingfisher
2025-10-15 21:51:21,White-Breasted-Kingfisher
2025-10-15 21:51:23,White-Breasted-Kingfisher
2025-10-15 21:51:24,White-Breasted-Kingfisher
2025-10-15 21:51:27,White-Breasted-Kingfisher
2025-10-15 21:51:27,White-Breasted-Kingfisher
2025-10-15 21:51:30,White-Breasted-Kingfisher
2025-10-15 21:51:30,White-Breasted-Kingfisher
2025-10-15 21:51:33,White-Breasted-Kingfisher
2025-10-15 21:51:34,White-Breasted-Kingfisher
2025-10-15 21:51:36,White-Breasted-Kingfisher
2025-10-15 21:51:37,Red-Wattled-Lapwing
2025-10-15 21:51:40,White-Breasted-Kingfisher
2025-10-15 21:51:40,White-Breasted-Kingfisher
2025-10-15 21:51:43,Jungle-Babbler
2025-10-15 21:51:44,Jungle-Babbler
2025-10-15 21:51:46,White-Breasted-Kingfisher
2025-10-15 21:51:47,White-Breasted-Kingfisher
2025-10-15 21:51:50,Red-Wattled-Lapwing
2025-10-15 21:51:50,White-Breasted-Kingfisher
2025-10-15 21:51:53,Red-Wattled-Lapwing
2025-10-15 21:51:53,Red-Wattled-Lapwing
2025-10-15 21:51:56,Red-Wattled-Lapwing
2025-10-15 21:51:57,White-Breasted-Kingfisher
2025-10-15 21:52:00,Red-Wattled-Lapwing
2025-10-15 21:52:03,Red-Wattled-Lapwing
2025-10-15 21:52:03,Asian-Green-Bee-Eater
2025-10-15 21:52:07,White-Breasted-Kingfisher
2025-10-15 21:52:07,Asian-Green-Bee-Eater
2025-10-15 21:52:11,Red-Wattled-Lapwing
2025-10-15 21:52:11,Jungle-Babbler
2025-10-15 21:52:14,Jungle-Babbler
2025-10-15 21:52:14,Red-Wattled-Lapwing
2025-10-15 21:52:18,Jungle-Babbler
2025-10-15 21:52:18,White-Breasted-Kingfisher
2025-10-15 21:52:21,Asian-Green-Bee-Eater
2025-10-15 21:52:21,White-Breasted-Kingfisher
2025-10-15 21:52:24,Asian-Green-Bee-Eater
2025-10-15 21:52:24,White-Breasted-Kingfisher
2025-10-15 21:52:27,Asian-Green-Bee-Eater
2025-10-15 21:52:27,White-Breasted-Kingfisher
2025-10-15 21:52:30,Asian-Green-Bee-Eater
2025-10-15 21:52:31,White-Breasted-Kingfisher
2025-10-15 21:52:34,Asian-Green-Bee-Eater
2025-10-15 21:52:34,White-Breasted-Kingfisher
2025-10-15 21:52:37,Asian-Green-Bee-Eater
2025-10-15 21:52:37,White-Breasted-Kingfisher
2025-10-15 21:52:40,Jungle-Babbler
2025-10-15 21:52:40,White-Breasted-Kingfisher
2025-10-15 21:52:44,Jungle-Babbler
2025-10-15 21:52:44,Jungle-Babbler
2025-10-15 21:52:47,Jungle-Babbler
2025-10-15 21:52:47,Jungle-Babbler
2025-10-15 21:52:50,Jungle-Babbler
2025-10-15 21:52:50,Jungle-Babbler
2025-10-15 21:52:53,Jungle-Babbler
2025-10-15 21:52:53,Jungle-Babbler
2025-10-15 21:52:57,Jungle-Babbler
2025-10-15 21:52:57,Jungle-Babbler
2025-10-15 21:53:00,Jungle-Babbler
2025-10-15 21:53:00,Jungle-Babbler
2025-10-15 21:53:03,Jungle-Babbler
2025-10-15 21:53:03,Jungle-Babbler
2025-10-15 21:53:06,Jungle-Babbler
2025-10-15 21:53:06,Jungle-Babbler
2025-10-15 21:53:10,Jungle-Babbler
2025-10-15 21:53:10,Jungle-Babbler
